frameNumber, systemtime_ms, device_timestamp, device_timecode, Motive_SW_Latency(ms), Transit_Latency(ms), mean_error(mm), X(m), Y(m), Z(m), QX(rad), QY(rad), QZ(rad), QW(rad)
1995984, 1740750232393, 16638.5, 00:00:01:172.0, 0.4895, 1.1939, 0, 0, 0, 0, 0, 0, 0, 1
1996008, 1740750232593, 16638.7, 00:00:01:172.0, 0.4898, 1.43909, 0, 0, 0, 0, 0, 0, 0, 1
1996032, 1740750232793, 16638.9, 00:00:01:172.0, 0.4566, 1.66084, 0, 0, 0, 0, 0, 0, 0, 1
1996056, 1740750232993, 16639.1, 00:00:01:172.0, 0.5355, 2.52159, 0, 0, 0, 0, 0, 0, 0, 1
1996080, 1740750233193, 16639.3, 00:00:01:172.0, 0.5325, 3.3767, 0, 0, 0, 0, 0, 0, 0, 1
1996104, 1740750233393, 16639.5, 00:00:01:172.0, 0.5478, 1.52358, 0, 0, 0, 0, 0, 0, 0, 1
1996128, 1740750233593, 16639.7, 00:00:01:172.0, 0.4881, 1.67276, 0, 0, 0, 0, 0, 0, 0, 1
1996152, 1740750233794, 16639.9, 00:00:01:172.0, 0.461, 1.95072, 0, 0, 0, 0, 0, 0, 0, 1
1996176, 1740750233994, 16640.1, 00:00:01:172.0, 0.4745, 1.68741, 0, 0, 0, 0, 0, 0, 0, 1
1996200, 1740750234194, 16640.3, 00:00:01:172.0, 0.5759, 1.74229, 0, 0, 0, 0, 0, 0, 0, 1
1996224, 1740750234394, 16640.5, 00:00:01:172.0, 0.5808, 1.71764, 0, 0, 0, 0, 0, 0, 0, 1
1996248, 1740750234595, 16640.7, 00:00:01:172.0, 0.4838, 1.71755, 0, 0, 0, 0, 0, 0, 0, 1
1996272, 1740750234795, 16640.9, 00:00:01:172.0, 0.5473, 1.68548, 0, 0, 0, 0, 0, 0, 0, 1
1996296, 1740750234995, 16641.1, 00:00:01:172.0, 0.4768, 4.56796, 0, 0, 0, 0, 0, 0, 0, 1
1996320, 1740750235195, 16641.3, 00:00:01:172.0, 0.4837, 2.55311, 0, 0, 0, 0, 0, 0, 0, 1
1996344, 1740750235396, 16641.5, 00:00:01:172.0, 0.5884, 2.92834, 0, 0, 0, 0, 0, 0, 0, 1
1996368, 1740750235596, 16641.7, 00:00:01:172.0, 0.5004, 1.54374, 0, 0, 0, 0, 0, 0, 0, 1
1996392, 1740750235796, 16641.9, 00:00:01:172.0, 0.6276, 2.04513, 0, 0, 0, 0, 0, 0, 0, 1
1996416, 1740750235997, 16642.1, 00:00:01:172.0, 0.5224, 2.69239, 0, 0, 0, 0, 0, 0, 0, 1
1996440, 1740750236197, 16642.3, 00:00:01:172.0, 0.8173, 2.45475, 0, 0, 0, 0, 0, 0, 0, 1
1996464, 1740750236397, 16642.5, 00:00:01:172.0, 0.6137, 1.89464, 0, 0, 0, 0, 0, 0, 0, 1
1996488, 1740750236597, 16642.7, 00:00:01:172.0, 0.5479, 1.73742, 0, 0, 0, 0, 0, 0, 0, 1
1996512, 1740750236797, 16642.9, 00:00:01:172.0, 0.6155, 1.68243, 0, 0, 0, 0, 0, 0, 0, 1
1996536, 1740750236997, 16643.1, 00:00:01:172.0, 0.4269, 1.56243, 0, 0, 0, 0, 0, 0, 0, 1
1996560, 1740750237197, 16643.3, 00:00:01:172.0, 0.7292, 2.02767, 0, 0, 0, 0, 0, 0, 0, 1
1996584, 1740750237398, 16643.5, 00:00:01:172.0, 0.4774, 2.96671, 0, 0, 0, 0, 0, 0, 0, 1
1996608, 1740750237598, 16643.7, 00:00:01:172.0, 0.5484, 2.31096, 0, 0, 0, 0, 0, 0, 0, 1
